#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-clamy-name	Best-hit-clamy-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:51212554	Qurub.01G000100	Qurub.01G000100.1	Qurub.01G000100.1												
PAC:51214268	Qurub.01G002400	Qurub.01G002400.1	Qurub.01G002400.1		PTHR33187 PTHR33187:SF4										
PAC:51213559	Qurub.01G002500	Qurub.01G002500.1	Qurub.01G002500.1		PTHR33187										
PAC:51213304	Qurub.01G002600	Qurub.01G002600.1	Qurub.01G002600.1		PTHR33047										
PAC:51212047	Qurub.01G002700	Qurub.01G002700.1	Qurub.01G002700.1												
PAC:51212639	Qurub.01G002800	Qurub.01G002800.1	Qurub.01G002800.1		PTHR33220 PTHR33220:SF1										
PAC:51211847	Qurub.01G002900	Qurub.01G002900.1	Qurub.01G002900.1		PTHR33047 PTHR33047:SF4										
PAC:51212658	Qurub.01G003000	Qurub.01G003000.1	Qurub.01G003000.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51212364	Qurub.01G003100	Qurub.01G003100.1	Qurub.01G003100.1		PTHR33187										
PAC:51213978	Qurub.01G003200	Qurub.01G003200.1	Qurub.01G003200.1												
PAC:51211610	Qurub.01G003300	Qurub.01G003300.1	Qurub.01G003300.1		PTHR33220										
PAC:51211692	Qurub.01G003400	Qurub.01G003400.1	Qurub.01G003400.1		PTHR37395 PTHR37395:SF2										
PAC:51213350	Qurub.01G003500	Qurub.01G003500.1	Qurub.01G003500.1		PTHR33047 PTHR33047:SF4										
PAC:51211181	Qurub.01G003600	Qurub.01G003600.1	Qurub.01G003600.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51213573	Qurub.01G003700	Qurub.01G003700.1	Qurub.01G003700.1		PTHR33187										
PAC:51214139	Qurub.01G003800	Qurub.01G003800.1	Qurub.01G003800.1		PTHR33047										
PAC:51213607	Qurub.01G003900	Qurub.01G003900.1	Qurub.01G003900.1												
PAC:51211254	Qurub.01G004000	Qurub.01G004000.1	Qurub.01G004000.1		PTHR33047										
PAC:51212657	Qurub.01G004100	Qurub.01G004100.1	Qurub.01G004100.1		PTHR33220										
PAC:51212126	Qurub.01G004200	Qurub.01G004200.1	Qurub.01G004200.1		PTHR37395 PTHR37395:SF2										
PAC:51212632	Qurub.01G004300	Qurub.01G004300.1	Qurub.01G004300.1		PTHR33187 PTHR33187:SF4										
PAC:51213219	Qurub.01G004400	Qurub.01G004400.1	Qurub.01G004400.1		PTHR33047 PTHR33047:SF4										
PAC:51212991	Qurub.01G004500	Qurub.01G004500.1	Qurub.01G004500.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51212668	Qurub.01G004600	Qurub.01G004600.1	Qurub.01G004600.1		PTHR33187										
PAC:51213064	Qurub.01G004700	Qurub.01G004700.1	Qurub.01G004700.1		PTHR33047										
PAC:51214003	Qurub.01G004800	Qurub.01G004800.1	Qurub.01G004800.1		PTHR37395 PTHR37395:SF2										
PAC:51213921	Qurub.01G004900	Qurub.01G004900.1	Qurub.01G004900.1		PTHR33047 PTHR33047:SF4										
PAC:51212326	Qurub.01G005000	Qurub.01G005000.1	Qurub.01G005000.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51213184	Qurub.01G005100	Qurub.01G005100.1	Qurub.01G005100.1		PTHR33187										
PAC:51212707	Qurub.01G005200	Qurub.01G005200.1	Qurub.01G005200.1		PTHR33047										
PAC:51214209	Qurub.01G005300	Qurub.01G005300.1	Qurub.01G005300.1		PTHR33220										
PAC:51213905	Qurub.01G005400	Qurub.01G005400.1	Qurub.01G005400.1		PTHR33047 PTHR33047:SF4										
PAC:51211642	Qurub.01G005500	Qurub.01G005500.1	Qurub.01G005500.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51212883	Qurub.01G005600	Qurub.01G005600.1	Qurub.01G005600.1		PTHR33187										
PAC:51211728	Qurub.01G005700	Qurub.01G005700.1	Qurub.01G005700.1		PTHR33047										
PAC:51214057	Qurub.01G005800	Qurub.01G005800.1	Qurub.01G005800.1												
PAC:51213176	Qurub.01G005900	Qurub.01G005900.1	Qurub.01G005900.1		PTHR33220 PTHR33220:SF1										
PAC:51211271	Qurub.01G006000	Qurub.01G006000.1	Qurub.01G006000.1		PTHR33187 PTHR33187:SF4										
PAC:51214065	Qurub.01G006100	Qurub.01G006100.1	Qurub.01G006100.1		PTHR33047 PTHR33047:SF4										
PAC:51211589	Qurub.01G006200	Qurub.01G006200.1	Qurub.01G006200.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51213788	Qurub.01G006300	Qurub.01G006300.1	Qurub.01G006300.1		PTHR33187										
PAC:51211314	Qurub.01G006400	Qurub.01G006400.1	Qurub.01G006400.1		PTHR33047										
PAC:51214250	Qurub.01G006500	Qurub.01G006500.1	Qurub.01G006500.1		PTHR33220										
PAC:51212548	Qurub.01G006600	Qurub.01G006600.1	Qurub.01G006600.1		PTHR33187 PTHR33187:SF4										
PAC:51213100	Qurub.01G006700	Qurub.01G006700.1	Qurub.01G006700.1		PTHR33187										
PAC:51211530	Qurub.01G006800	Qurub.01G006800.1	Qurub.01G006800.1		PTHR33047										
PAC:51211623	Qurub.01G006900	Qurub.01G006900.1	Qurub.01G006900.1												
PAC:51213728	Qurub.01G007000	Qurub.01G007000.1	Qurub.01G007000.1		PTHR33220 PTHR33220:SF1										
PAC:51214402	Qurub.01G007100	Qurub.01G007100.1	Qurub.01G007100.1		PTHR33047 PTHR33047:SF4										
PAC:51214215	Qurub.01G007200	Qurub.01G007200.1	Qurub.01G007200.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51212806	Qurub.01G007300	Qurub.01G007300.1	Qurub.01G007300.1		PTHR33187										
PAC:51213276	Qurub.01G007400	Qurub.01G007400.1	Qurub.01G007400.1		PTHR33047										
PAC:51214161	Qurub.01G007500	Qurub.01G007500.1	Qurub.01G007500.1		PTHR33047 PTHR33047:SF4										
PAC:51214185	Qurub.01G007600	Qurub.01G007600.1	Qurub.01G007600.1		PTHR33220 PTHR33220:SF1										
PAC:51212169	Qurub.01G007700	Qurub.01G007700.1	Qurub.01G007700.1		PTHR33047										
PAC:51214059	Qurub.01G007800	Qurub.01G007800.1	Qurub.01G007800.1												
PAC:51214060	Qurub.01G007800	Qurub.01G007800.2	Qurub.01G007800.2												
PAC:51211292	Qurub.01G007900	Qurub.01G007900.1	Qurub.01G007900.1		PTHR10242 PTHR10242:SF4										
PAC:51212676	Qurub.01G008000	Qurub.01G008000.1	Qurub.01G008000.1	PF03732	PTHR33437 PTHR33437:SF2									LOC_Os08g05250	retrotransposon protein, putative, Ty3-gypsy subclass, expressed
PAC:51213700	Qurub.01G008100	Qurub.01G008100.1	Qurub.01G008100.1	PF00730	PTHR15074			K10801	GO:0006284						
PAC:51213701	Qurub.01G008100	Qurub.01G008100.2	Qurub.01G008100.2	PF00730	PTHR15074			K10801	GO:0006284						
PAC:51212077	Qurub.01G008200	Qurub.01G008200.1	Qurub.01G008200.1	PF04504	PTHR31662										
PAC:51213128	Qurub.01G008300	Qurub.01G008300.1	Qurub.01G008300.1		PTHR10242 PTHR10242:SF4	EC:4.2.99.18									
PAC:51213129	Qurub.01G008300	Qurub.01G008300.2	Qurub.01G008300.2		PTHR10242 PTHR10242:SF4										
PAC:51214104	Qurub.01G008400	Qurub.01G008400.1	Qurub.01G008400.1	PF00439 PF01695	PTHR23069 PTHR23069:SF0				GO:0005515 GO:0005524			Cre01.g038151	(1 of 1) PTHR23069:SF0 - TAT-BINDING HOMOLOG 7		
PAC:51212929	Qurub.01G008500	Qurub.01G008500.1	Qurub.01G008500.1	PF01088	PTHR10589 PTHR10589:SF30	EC:3.4.19.12		K05610	GO:0004843 GO:0005622 GO:0006511 GO:0008242	AT1G65650	Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1	Cre06.g253300	(1 of 1) K05610 - ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12] (UCHL5, UCH37)	LOC_Os02g57630	ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed
PAC:51211549	Qurub.01G008600	Qurub.01G008600.1	Qurub.01G008600.1	PF00335	PTHR32191 PTHR32191:SF20				GO:0016021	AT1G18520	tetraspanin11				
PAC:51213331	Qurub.01G008700	Qurub.01G008700.1	Qurub.01G008700.1	PF03195	PTHR31301 PTHR31301:SF5					AT1G65620	Lateral organ boundaries (LOB) domain family protein			LOC_Os05g34450	DUF260 domain containing protein, putative, expressed
PAC:51213332	Qurub.01G008700	Qurub.01G008700.2	Qurub.01G008700.2	PF03195	PTHR31301 PTHR31301:SF5					AT1G65620	Lateral organ boundaries (LOB) domain family protein			LOC_Os05g34450	DUF260 domain containing protein, putative, expressed
PAC:51214143	Qurub.01G008800	Qurub.01G008800.1	Qurub.01G008800.1	PF02892 PF05699 PF14372	PTHR23272		KOG1121		GO:0003677 GO:0046983					LOC_Os08g09800	WRKY105, expressed
PAC:51213299	Qurub.01G008900	Qurub.01G008900.1	Qurub.01G008900.1	PF00232	PTHR10353	EC:3.2.1.21		K01188	GO:0004553 GO:0005975 GO:0008422 GO:0030245	AT5G36890	beta glucosidase 42	Cre03.g171050	Glycosyl hydrolase	LOC_Os01g67220	Os1bglu4 - beta-glucosidase-like protein without signal sequence, expressed
PAC:51214429	Qurub.01G009000	Qurub.01G009000.1	Qurub.01G009000.1	PF00232	PTHR10353	EC:3.2.1.21		K01188	GO:0004553 GO:0005975					LOC_Os11g08120	Os11bglu37 - GH1 pseudogene, expressed
PAC:51213422	Qurub.01G009100	Qurub.01G009100.1	Qurub.01G009100.1	PF03372	PTHR31696	EC:3.1.11.2									
PAC:51214193	Qurub.01G009200	Qurub.01G009200.1	Qurub.01G009200.1	PF03372	PTHR19446 PTHR19446:SF368					AT1G43760	DNAse I-like superfamily protein			LOC_Os11g08225	expressed protein
PAC:51211650	Qurub.01G009300	Qurub.01G009300.1	Qurub.01G009300.1	PF00232	PTHR10353	EC:3.2.1.21	KOG0626		GO:0004553 GO:0005975			Cre03.g171050	Glycosyl hydrolase		
PAC:51213322	Qurub.01G009400	Qurub.01G009400.1	Qurub.01G009400.1	PF03372		EC:3.1.11.2									
PAC:51213376	Qurub.01G009500	Qurub.01G009500.1	Qurub.01G009500.1	PF04824 PF04825	PTHR12585 PTHR12585:SF29		KOG1213	K06670	GO:0000228 GO:0005515	AT5G16270	sister chromatid cohesion 1 protein 4			LOC_Os01g67250	Rad21 / Rec8 like protein, putative, expressed
PAC:51213014	Qurub.01G009600	Qurub.01G009600.1	Qurub.01G009600.1	PF07766	PTHR14009 PTHR14009:SF12		KOG1043	K17800	GO:0005509	AT1G65540	LETM1-like protein	Cre15.g639150	(1 of 1) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)	LOC_Os02g39550	calcium-binding mitochondrial protein anon-60Da, putative, expressed
PAC:51213015	Qurub.01G009600	Qurub.01G009600.2	Qurub.01G009600.2	PF07766	PTHR14009 PTHR14009:SF12		KOG1043	K17800	GO:0005509	AT1G65540	LETM1-like protein	Cre15.g639150	(1 of 1) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)	LOC_Os02g39550	calcium-binding mitochondrial protein anon-60Da, putative, expressed
PAC:51213016	Qurub.01G009600	Qurub.01G009600.3	Qurub.01G009600.3	PF07766	PTHR14009 PTHR14009:SF12		KOG1043	K17800	GO:0005509	AT1G65540	LETM1-like protein	Cre15.g639150	(1 of 1) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)	LOC_Os02g39550	calcium-binding mitochondrial protein anon-60Da, putative, expressed
PAC:51213017	Qurub.01G009600	Qurub.01G009600.4	Qurub.01G009600.4	PF07766	PTHR14009 PTHR14009:SF12		KOG1043	K17800	GO:0005509	AT1G65540	LETM1-like protein	Cre15.g639150	(1 of 1) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)	LOC_Os02g39550	calcium-binding mitochondrial protein anon-60Da, putative, expressed
PAC:51213018	Qurub.01G009600	Qurub.01G009600.5	Qurub.01G009600.5	PF07766	PTHR14009 PTHR14009:SF12		KOG1043	K17800	GO:0005509	AT1G65540	LETM1-like protein	Cre15.g639150	(1 of 1) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)	LOC_Os02g39550	calcium-binding mitochondrial protein anon-60Da, putative, expressed
PAC:51212949	Qurub.01G009700	Qurub.01G009700.1	Qurub.01G009700.1	PF01842 PF10369 PF13710	PTHR30239 PTHR30239:SF6	EC:2.2.1.6	KOG2663	K01653	GO:0003984 GO:0008152 GO:0009082 GO:0016597			Cre01.g055453	Acetolactate synthase, small subunit	LOC_Os02g39570	ACT domain containing protein, expressed
PAC:51212950	Qurub.01G009700	Qurub.01G009700.2	Qurub.01G009700.2	PF01842 PF10369 PF13710	PTHR30239 PTHR30239:SF6	EC:2.2.1.6	KOG2663	K01653	GO:0003984 GO:0008152 GO:0009082 GO:0016597			Cre01.g055453	Acetolactate synthase, small subunit	LOC_Os02g39570	ACT domain containing protein, expressed
PAC:51212951	Qurub.01G009700	Qurub.01G009700.3	Qurub.01G009700.3	PF01842 PF10369 PF13710	PTHR30239 PTHR30239:SF6	EC:2.2.1.6	KOG2663	K01653	GO:0003984 GO:0008152 GO:0009082 GO:0016597			Cre01.g055453	Acetolactate synthase, small subunit	LOC_Os02g39570	ACT domain containing protein, expressed
PAC:51213865	Qurub.01G009800	Qurub.01G009800.1	Qurub.01G009800.1	PF03732	PTHR22847 PTHR22847:SF433										
PAC:51213976	Qurub.01G009900	Qurub.01G009900.1	Qurub.01G009900.1	PF00107 PF16884	PTHR11695 PTHR11695:SF564	EC:1.1.1.54 EC:1.3.1.102	KOG1196		GO:0008270 GO:0016491 GO:0055114	AT1G65560	Zinc-binding dehydrogenase family protein				
PAC:51213977	Qurub.01G009900	Qurub.01G009900.2	Qurub.01G009900.2	PF00107 PF16884	PTHR11695 PTHR11695:SF564	EC:1.1.1.54 EC:1.3.1.102			GO:0008270 GO:0016491 GO:0055114	AT1G65560	Zinc-binding dehydrogenase family protein				
PAC:51212706	Qurub.01G010000	Qurub.01G010000.1	Qurub.01G010000.1	PF07714 PF08263	PTHR27000 PTHR27000:SF10	EC:2.7.11.1	KOG1187		GO:0004672 GO:0004713 GO:0005524 GO:0006468	AT5G48380	BAK1-interacting receptor-like kinase 1	Cre16.g654900	(1 of 55) 2.7.12.1 - Dual-specificity kinase	LOC_Os05g34270	inactive receptor kinase At1g27190 precursor, putative, expressed
PAC:51212511	Qurub.01G010100	Qurub.01G010100.1	Qurub.01G010100.1												
PAC:51213274	Qurub.01G010200	Qurub.01G010200.1	Qurub.01G010200.1	PF12708	PTHR31375 PTHR31375:SF27	EC:3.2.1.15								LOC_Os01g43490	polygalacturonase, putative, expressed
PAC:51211830	Qurub.01G010300	Qurub.01G010300.1	Qurub.01G010300.1	PF03372	PTHR11200 PTHR11200:SF137	EC:3.1.3.36	KOG0565		GO:0005515 GO:0046856	AT1G65580	Endonuclease/exonuclease/phosphatase family protein	Cre12.g530050	similar to inositol polyphosphate phosphatase	LOC_Os08g41270	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
PAC:51211831	Qurub.01G010300	Qurub.01G010300.2	Qurub.01G010300.2	PF03372	PTHR11200 PTHR11200:SF137	EC:3.1.3.36	KOG0565		GO:0005515 GO:0046856	AT1G65580	Endonuclease/exonuclease/phosphatase family protein	Cre12.g530050	similar to inositol polyphosphate phosphatase	LOC_Os08g41270	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
PAC:51211756	Qurub.01G010400	Qurub.01G010400.1	Qurub.01G010400.1												
PAC:51212905	Qurub.01G010500	Qurub.01G010500.1	Qurub.01G010500.1		PTHR11439 PTHR11439:SF192	EC:2.7.7.49									
PAC:51213508	Qurub.01G010600	Qurub.01G010600.1	Qurub.01G010600.1	PF00728 PF14845	PTHR22600 PTHR22600:SF18	EC:3.2.1.52	KOG2499	K12373	GO:0004553 GO:0004563 GO:0005975	AT1G65590	beta-hexosaminidase 3	Cre11.g467779	(1 of 1) 3.2.1.52 - Beta-N-acetylhexosaminidase / N-acetyl-beta-glucosaminidase	LOC_Os01g66700	beta-hexosaminidase precursor, putative, expressed
PAC:51211919	Qurub.01G010700	Qurub.01G010700.1	Qurub.01G010700.1	PF00759	PTHR22298 PTHR22298:SF39	EC:3.2.1.4			GO:0004553 GO:0005975	AT1G65610	Six-hairpin glycosidases superfamily protein	Cre17.g730550	(1 of 4) 3.2.1.4 - Cellulase / Endoglucanase	LOC_Os04g41970	endoglucanase, putative, expressed
PAC:51212981	Qurub.01G010800	Qurub.01G010800.1	Qurub.01G010800.1												
PAC:51211838	Qurub.01G010900	Qurub.01G010900.1	Qurub.01G010900.1	PF12253	PTHR15272 PTHR15272:SF0		KOG4364	K10750		AT1G65470	chromatin assembly factor-1 (FASCIATA1) (FAS1)			LOC_Os01g67100	expressed protein
PAC:51212189	Qurub.01G011000	Qurub.01G011000.1	Qurub.01G011000.1		PTHR33982					AT3G52420	outer envelope membrane protein 7			LOC_Os02g48480	expressed protein
PAC:51211298	Qurub.01G011100	Qurub.01G011100.1	Qurub.01G011100.1	PF01161	PTHR11362 PTHR11362:SF9		KOG3346	K16223	GO:0008429 GO:0009909 GO:0048573	AT1G65480	PEBP (phosphatidylethanolamine-binding protein) family protein			LOC_Os06g06320	osFTL2 FT-Like2 homologous to Flowering Locus T gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed
PAC:51211299	Qurub.01G011100	Qurub.01G011100.2	Qurub.01G011100.2	PF01161	PTHR11362 PTHR11362:SF9		KOG3346	K16223	GO:0008429 GO:0009909 GO:0048573	AT1G65480	PEBP (phosphatidylethanolamine-binding protein) family protein			LOC_Os06g06320	osFTL2 FT-Like2 homologous to Flowering Locus T gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed
PAC:51211300	Qurub.01G011100	Qurub.01G011100.3	Qurub.01G011100.3	PF01161	PTHR11362 PTHR11362:SF9				GO:0008429 GO:0009909 GO:0048573	AT1G65480	PEBP (phosphatidylethanolamine-binding protein) family protein			LOC_Os06g06320	osFTL2 FT-Like2 homologous to Flowering Locus T gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed
PAC:51212448	Qurub.01G011200	Qurub.01G011200.1	Qurub.01G011200.1												
PAC:51211856	Qurub.01G011300	Qurub.01G011300.1	Qurub.01G011300.1												
PAC:51214129	Qurub.01G011400	Qurub.01G011400.1	Qurub.01G011400.1	PF02458	PTHR31642 PTHR31642:SF40	EC:2.3.1.188		K15400	GO:0016747	AT1G65450	HXXXD-type acyl-transferase family protein				
PAC:51211805	Qurub.01G011500	Qurub.01G011500.1	Qurub.01G011500.1	PF13891	PTHR13453				GO:0000123					LOC_Os05g23840	expressed protein
PAC:51213612	Qurub.01G011600	Qurub.01G011600.1	Qurub.01G011600.1	PF13242	PTHR19288 PTHR19288:SF33	EC:3.1.3.18	KOG2882	K19269	GO:0008152 GO:0016791	AT5G36790	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	Cre03.g168700	Phosphoglycolate phosphatase/4-nitrophenylphosphatase	LOC_Os04g41340	4-nitrophenylphosphatase, putative, expressed
PAC:51213048	Qurub.01G011700	Qurub.01G011700.1	Qurub.01G011700.1	PF03446 PF14833	PTHR22981 PTHR22981:SF53	EC:1.1.1.26	KOG0409	K18121	GO:0004616 GO:0016491 GO:0051287 GO:0055114	AT3G25530	glyoxylate reductase 1	Cre11.g467617	Gamma hydroxybutyrate dehydrogenase	LOC_Os02g35500	NAD binding domain of 6-phosphogluconate dehydrogenase containing protein, expressed
PAC:51213201	Qurub.01G011800	Qurub.01G011800.1	Qurub.01G011800.1	PF00730 PF14815	PTHR10359	EC:4.2.99.18	KOG2457	K03575	GO:0006284	AT4G12740	HhH-GPD base excision DNA repair family protein			LOC_Os12g10850	hhH-GPD superfamily base excision DNA repair protein, putative, expressed
PAC:51213147	Qurub.01G011900	Qurub.01G011900.1	Qurub.01G011900.1												
PAC:51213391	Qurub.01G012000	Qurub.01G012000.1	Qurub.01G012000.1		PTHR33176										
PAC:51211632	Qurub.01G012100	Qurub.01G012100.1	Qurub.01G012100.1		PTHR21717 PTHR21717:SF23										
PAC:51211633	Qurub.01G012100	Qurub.01G012100.2	Qurub.01G012100.2		PTHR21717 PTHR21717:SF23										
PAC:51211960	Qurub.01G012200	Qurub.01G012200.1	Qurub.01G012200.1												
PAC:51211961	Qurub.01G012200	Qurub.01G012200.2	Qurub.01G012200.2												
PAC:51212484	Qurub.01G012300	Qurub.01G012300.1	Qurub.01G012300.1	PF00201 PF03033	PTHR11926 PTHR11926:SF308	EC:2.4.1.173	KOG1192	K05841	GO:0005975 GO:0008152 GO:0016758 GO:0030259			Cre07.g333450	Sterol 3-beta-glucosyltransferase		
PAC:51212582	Qurub.01G012400	Qurub.01G012400.1	Qurub.01G012400.1	PF00067	PTHR24291 PTHR24291:SF54		KOG0157	K15747	GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114	AT1G31800	cytochrome P450, family 97, subfamily A, polypeptide 3	Cre02.g142266	(1 of 2) K15747 - beta-ring hydroxylase (LUT5, CYP97A3)	LOC_Os02g57290	cytochrome P450, putative, expressed
PAC:51212583	Qurub.01G012400	Qurub.01G012400.2	Qurub.01G012400.2	PF00067	PTHR24291 PTHR24291:SF54		KOG0157		GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114	AT1G31800	cytochrome P450, family 97, subfamily A, polypeptide 3	Cre02.g142266	(1 of 2) K15747 - beta-ring hydroxylase (LUT5, CYP97A3)	LOC_Os02g57290	cytochrome P450, putative, expressed
PAC:51212104	Qurub.01G012500	Qurub.01G012500.1	Qurub.01G012500.1	PF03372	PTHR31696										
PAC:51211272	Qurub.01G012600	Qurub.01G012600.1	Qurub.01G012600.1							AT4G13230	Late embryogenesis abundant protein (LEA) family protein				
PAC:51211417	Qurub.01G012700	Qurub.01G012700.1	Qurub.01G012700.1							AT4G13230	Late embryogenesis abundant protein (LEA) family protein				
PAC:51213606	Qurub.01G012800	Qurub.01G012800.1	Qurub.01G012800.1	PF03214	PTHR31682 PTHR31682:SF4	EC:5.4.99.30		K13379	GO:0016866 GO:0030244	AT5G16510	Alpha-1,4-glucan-protein synthase family protein			LOC_Os04g56520	alpha-1,4-glucan-protein synthase, putative, expressed
PAC:51213602	Qurub.01G012900	Qurub.01G012900.1	Qurub.01G012900.1							AT4G30390		Cre12.g484300			
PAC:51211615	Qurub.01G013000	Qurub.01G013000.1	Qurub.01G013000.1	PF05699 PF14291	PTHR11697				GO:0046983			Cre17.g698299	(1 of 4) PTHR11697//PTHR11697:SF74 - GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN // WITHOUT CHILDREN, ISOFORM B		
PAC:51212564	Qurub.01G013100	Qurub.01G013100.1	Qurub.01G013100.1		PTHR37198					AT5G36100				LOC_Os12g32200	expressed protein
PAC:51212180	Qurub.01G013200	Qurub.01G013200.1	Qurub.01G013200.1	PF01424	PTHR15672 PTHR15672:SF16				GO:0003676					LOC_Os01g01050	R3H domain containing protein, expressed
PAC:51212181	Qurub.01G013200	Qurub.01G013200.2	Qurub.01G013200.2	PF01424	PTHR15672 PTHR15672:SF16				GO:0003676					LOC_Os01g01050	R3H domain containing protein, expressed
PAC:51212182	Qurub.01G013200	Qurub.01G013200.3	Qurub.01G013200.3	PF01424	PTHR15672 PTHR15672:SF16				GO:0003676					LOC_Os01g01050	R3H domain containing protein, expressed
PAC:51213114	Qurub.01G013300	Qurub.01G013300.1	Qurub.01G013300.1		PTHR37254					AT5G16520				LOC_Os01g01040	expressed protein
PAC:51211876	Qurub.01G013400	Qurub.01G013400.1	Qurub.01G013400.1	PF03372	PTHR31696	EC:3.1.11.2									
PAC:51211556	Qurub.01G013500	Qurub.01G013500.1	Qurub.01G013500.1	PF07137	PTHR33970 PTHR33970:SF1	EC:1.10.99.3		K09839	GO:0009507 GO:0046422 GO:0055114	AT1G08550	non-photochemical quenching 1			LOC_Os04g31040	violaxanthin de-epoxidase, putative, expressed
PAC:51211557	Qurub.01G013500	Qurub.01G013500.2	Qurub.01G013500.2	PF07137	PTHR33970 PTHR33970:SF1	EC:1.10.99.3		K09839	GO:0009507 GO:0046422 GO:0055114	AT1G08550	non-photochemical quenching 1			LOC_Os04g31040	violaxanthin de-epoxidase, putative, expressed
PAC:51212245	Qurub.01G013600	Qurub.01G013600.1	Qurub.01G013600.1		PTHR34115 PTHR34115:SF2										
